Treatment,treatment_order,fuel_type,year,carbon,std,order
bc,4,Litter,2011,1.640013238,0.51475695,e
bc,4,Litter,2017,2.011249159,0.176879076,e
bc,4,Litter,2018,0.841681443,0.332296567,e
bc,4,Litter,2019,1.571933923,0.550287549,e
bc,4,X1000hr,2011,16.91554921,3.873763427,a
bc,4,X1000hr,2017,27.56405786,5.052975361,a
bc,4,X1000hr,2018,9.428648916,2.013005465,a
bc,4,X1000hr,2019,10.54108018,3.084606872,a
bc,4,X100hr,2011,2.246257427,0.034828065,b
bc,4,X100hr,2017,2.221863226,0.296299806,b
bc,4,X100hr,2018,1.670211187,0.379657606,b
bc,4,X100hr,2019,2.750552778,1.321036941,b
bc,4,X10hr,2011,0.916521656,0.083905565,c
bc,4,X10hr,2017,0.87661392,0.174883363,c
bc,4,X10hr,2018,0.644598722,0.192583344,c
bc,4,X10hr,2019,1.116205693,0.492101438,c
bc,4,X1hr,2011,0.163904958,0.023647078,d
bc,4,X1hr,2017,0.095374656,0.003972179,d
bc,4,X1hr,2018,0.146652936,0.042971749,d
bc,4,X1hr,2019,0.228011052,0.126256681,d
bn,2,Litter,2011,1.732240344,0.328945952,e
bn,2,Litter,2017,2.131697178,0.213431966,e
bn,2,Litter,2018,0.759055266,0.231156368,e
bn,2,Litter,2019,1.507054918,0.264267604,e
bn,2,X1000hr,2011,14.29425127,5.247275026,a
bn,2,X1000hr,2017,27.71953381,6.746743576,a
bn,2,X1000hr,2018,10.29282283,2.796162697,a
bn,2,X1000hr,2019,10.45972505,2.203470195,a
bn,2,X100hr,2011,1.860976142,0.12592231,b
bn,2,X100hr,2017,2.070438106,0.45738461,b
bn,2,X100hr,2018,1.943143943,0.089843553,b
bn,2,X100hr,2019,1.904344063,0.052418936,b
bn,2,X10hr,2011,0.912693256,0.14623894,c
bn,2,X10hr,2017,1.224021619,0.215585738,c
bn,2,X10hr,2018,0.81952425,0.02894085,c
bn,2,X10hr,2019,1.188863735,0.039418879,c
bn,2,X1hr,2011,0.289794297,0.03785656,d
bn,2,X1hr,2017,0.241230999,0.033467777,d
bn,2,X1hr,2018,0.204669836,0.017332251,d
bn,2,X1hr,2019,0.268602651,0.038039654,d
bs,6,Litter,2011,1.028463153,0.189068248,e
bs,6,Litter,2017,1.164621783,0.088697218,e
bs,6,Litter,2018,0.899868892,0.267009547,e
bs,6,Litter,2019,1.318818522,0.385504582,e
bs,6,X1000hr,2011,11.85498585,3.409580514,a
bs,6,X1000hr,2017,24.40864582,1.636542824,a
bs,6,X1000hr,2018,15.30011708,3.321087822,a
bs,6,X1000hr,2019,21.66024725,5.266638321,a
bs,6,X100hr,2011,1.708065148,0.234815967,b
bs,6,X100hr,2017,1.81740526,0.377975158,b
bs,6,X100hr,2018,1.58116569,0.354782156,b
bs,6,X100hr,2019,1.732483511,0.565804752,b
bs,6,X10hr,2011,0.585512568,0.017597287,c
bs,6,X10hr,2017,0.714558448,0.028999563,c
bs,6,X10hr,2018,0.726244868,0.096721996,c
bs,6,X10hr,2019,0.911373835,0.364959199,c
bs,6,X1hr,2011,0.142890022,0.022798913,d
bs,6,X1hr,2017,0.119826806,0.018046341,d
bs,6,X1hr,2018,0.157969448,0.017065316,d
bs,6,X1hr,2019,0.30839684,0.165259837,d
uc,3,Litter,2011,2.112204383,0.252563021,e
uc,3,Litter,2017,1.854433986,0.169411185,e
uc,3,Litter,2018,1.336856631,0.135895724,e
uc,3,Litter,2019,2.680695755,0.486759136,e
uc,3,X1000hr,2011,19.51841249,3.915939936,a
uc,3,X1000hr,2017,33.20617269,5.684699232,a
uc,3,X1000hr,2018,33.6079148,4.923574053,a
uc,3,X1000hr,2019,32.76091534,4.044074442,a
uc,3,X100hr,2011,3.437990657,0.157211112,b
uc,3,X100hr,2017,3.648024665,0.351437198,b
uc,3,X100hr,2018,3.009336517,0.272117071,b
uc,3,X100hr,2019,4.074864524,0.05342721,b
uc,3,X10hr,2011,1.255987819,0.16671381,c
uc,3,X10hr,2017,1.200650241,0.101325218,c
uc,3,X10hr,2018,0.921327009,0.042088976,c
uc,3,X10hr,2019,1.405768871,0.116677056,c
uc,3,X1hr,2011,0.224689678,0.022554161,d
uc,3,X1hr,2017,0.16735544,0.019673024,d
uc,3,X1hr,2018,0.227354582,0.043328559,d
uc,3,X1hr,2019,0.27266839,0.050036504,d
un,1,Litter,2011,1.841722266,0.301256383,e
un,1,Litter,2017,2.070667496,0.358790972,e
un,1,Litter,2018,1.503507721,0.36810692,e
un,1,Litter,2019,2.65698437,0.175460908,e
un,1,X1000hr,2011,24.67038811,6.141499114,a
un,1,X1000hr,2017,29.44151616,12.82567459,a
un,1,X1000hr,2018,28.14178796,13.72965844,a
un,1,X1000hr,2019,25.79641854,14.22434154,a
un,1,X100hr,2011,2.313296251,0.50427616,b
un,1,X100hr,2017,2.255808092,0.407271818,b
un,1,X100hr,2018,2.628505857,0.596424831,b
un,1,X100hr,2019,3.082882222,0.641401548,b
un,1,X10hr,2011,1.081368981,0.134410209,c
un,1,X10hr,2017,1.005863783,0.133203857,c
un,1,X10hr,2018,1.089981569,0.036157024,c
un,1,X10hr,2019,1.240602678,0.237580669,c
un,1,X1hr,2011,0.269063059,0.02313911,d
un,1,X1hr,2017,0.241853895,0.04167363,d
un,1,X1hr,2018,0.276423184,0.023164984,d
un,1,X1hr,2019,0.294297009,0.059922652,d
us,5,Litter,2011,1.443921536,0.162934987,e
us,5,Litter,2017,1.545167697,0.214530266,e
us,5,Litter,2018,1.30630822,0.03816937,e
us,5,Litter,2019,2.773504736,0.453881494,e
us,5,X1000hr,2011,20.57207989,7.418364897,a
us,5,X1000hr,2017,28.15842001,7.601961734,a
us,5,X1000hr,2018,29.8730147,9.235062026,a
us,5,X1000hr,2019,30.47764241,10.91787156,a
us,5,X100hr,2011,3.12857418,0.272367501,b
us,5,X100hr,2017,2.929782889,0.266003291,b
us,5,X100hr,2018,3.053251809,0.475100434,b
us,5,X100hr,2019,3.590089209,0.287698004,b
us,5,X10hr,2011,1.017376063,0.120039711,c
us,5,X10hr,2017,0.985758174,0.076705936,c
us,5,X10hr,2018,1.136463481,0.071158481,c
us,5,X10hr,2019,1.261261057,0.075962735,c
us,5,X1hr,2011,0.193082557,0.022901359,d
us,5,X1hr,2017,0.165455236,0.018800791,d
us,5,X1hr,2018,0.208314523,0.075962461,d
us,5,X1hr,2019,0.299195326,0.035111357,d
